"","x"
"GP90","bylem dyskryminowany ze wzgledu na narodowosc, wyglad, przekonania"
"GP91","moje mieszkanie (dom) zostalo powazenie zniszczone"
"GP92","przeprowadzony zostal remont mojego mieszkania (domu)"
"GP93","mialem klopoty z wlascicielem lub zarzadca budynku, w ktorym mieszkam"
"GP94","poważnie chorowałem"
"GP95","Kiedy Polska powinna przystąpić do strefy euro?"
"GP96A","Czy zamierza Pan w ciagu nastepnych dwoch lat wyjechac za granice"
"G_KRAJ_1","KRAJ EMIGRACJI W UE, PIERWSZY WYBÓR"
"G_KRAJ_2","KRAJ EMIGRACJI W UE, DRUGI WYBÓR"
"G_KRAJ_3","KRAJ EMIGRACJI POZA UE"
"GP97_01","powód zamiaru wyjazdu - utrata nadziei na znalezienie jakiejkolwiek pracy w kraju"
"GP97_02","powód zamiaru wyjazdu - utrata nadzie na znalezienie pracy zgodnej z kwalifikacjami"
"GP97_03","powód zamiaru wyjazdu - liczenie na wyższe zarobki niż w kraju"
"GP97_04","powód zamiaru wyjazdu - szansa na rozwój zawodowy"
"GP97_05","powód zamiaru wyjazdu - ogólna atmosfera w kraju"
"GP97_06","powód zamiaru wyjazdu - układy i znajomości"
"GP97_07","powód zamiaru wyjazdu - świadczenie społeczne"
"GP97_08","powód zamiaru wyjazdu - usamodzielnienie"
"GP97_09","powód zamiaru wyjazdu - połączenie z rodziną"
"GP97_10","powód zamiaru wyjazdu - za granicą ludzie bardziej uprzejmi i pomocni"
"GP97_11","powód zamiaru wyjazdu - za granicą łatwiej rozwinąć biznes"
"GP97_12","powód zamiaru wyjazdu - wysyła pracodawca"
"GP97_13","powód zamiaru wyjazdu - chęć sprawdzenia się"
"GP97_14","powód zamiaru wyjazdu - po pieniądze na własną firmę w kraju"
"GP97_15","powód zamiaru wyjazdu - pi pieniądze na potrzeby w kraju"
"GP97_16","powód zamiaru wyjazdu - inny"
"GP98","Ktora partia polityczna jest Panu najblizsza?"
"GP99","Komputer"
"GP100","Internet"
"GP101","Usługi bankowe"
"GP102_1","konto"
"GP102_2","karta debetowa"
"GP102_3","rachunek oszczędnościowy"
"GP102_4","karta kredytowa"
"GP102_5","limit w koncie"
"GP102_6","bankowość internetowa"
"GP103","JAKI BANK"
"GP104_01","zauf.banków komercyjnych"
"GP104_02","zauf.Narodowego Banku Polskiego"
"GP104_03","zauf.Sejmu"
"GP104_04","zauf.Prezydenta"
"GP104_05","zauf.Parlamentu Europejskiego"
"GP104_06","zauf.policji"
"GP104_07","zauf.rządu"
"GP104_08","zauf.ZUS-u"
"GP104_09","zauf.giełdy"
"GP104_10","zauf.Otwartych Funduszy Emerytalnych"
"GP104_11","zauf.sądów"
"GP104_12","zauf.towarzystw ubezpieczeń życiowych"
"GP104_13","zauf.towarzystw ubezpieczeń majątkowych"
"GP104_14","zauf.członków własnej rodziny"
"GP104_15","zauf.sąsiadów"
"GP105_01","niepłodność"
"GP105_02","choroby genetyczne"
"GP105_03","trudne warunki bytowe"
"GP105_04","trudność godzenia pracy z rodzicielstwem"
"GP105_05","niepewna przyszłość"
"GP105_06","niechętna dzieciom postawa partnera\ki"
"GP105_07","za krótki urlop macierzyński"
"GP105_08","za krótki urlop wychowawczy"
"GP105_09","za niski zasiłek"
"GP105_10","złe warunki mieszkaniowe"
"GP105_11","żłobki/przedszkola"
"GP105_12","zagrożenia dla dzieci"
"GP105_13","dzieci odbiedrają swobodę życiową"
"GP105_14","chęć robienia kariery zawodowej"
"GP105_15","łatwe zapobieganie ciąży"
"GP105_16","odraczanie decyzji"
"GP105_17","dzieci nie służą na starość"
"GP105_18","koszty wychowania"
"GP105_19","brak partnera/ki"
"GP105_20","dzieci to zbyt duża odpowiedzialność"
"GP105_21","inny powód"
"GP106","Czy który z powodów dotyczy obecnie Pana?"
"GP107_1","pierwszy powód"
"GP107_2","drugi powód"
"GP107_3","trzeci powód"
"GP108_01","nie uprawiam aktywnie żadnej formy sportu ani ćwiczeń fizycznych"
"GP108_02","uprawia aerobik"
"GP108_03","uprawia bieganie/jogging/nordic walking"
"GP108_04","uprawia siłownia"
"GP108_05","uprawia jazda na rowerze"
"GP108_06","uprawia jazda na nartach lub inne sporty zimowe"
"GP108_07","uprawia pływanie"
"GP108_08","uprawia gra w piłkę nożną lub inne gry zespołowe"
"GP108_09","uprawia joga"
"GP108_10","uprawia sztuki walki"
"GP108_11","uprawia inne formy"
"GP109_01","CECHY BANKU - długoletnia obecność"
"GP109_02","CECHY BANKU - bank prywatny"
"GP109_03","CECHY BANKU - bank państwowy"
"GP109_04","CECHY BANKU - jakość obsługi"
"GP109_05","CECHY BANKU - indywidualne doractwo"
"GP109_06","CECHY BANKU - funkcjonalny serwis internetowy"
"GP109_07","CECHY BANKU - znany od lat doradca"
"GP109_08","CECHY BANKU - polecany"
"GP109_09","CECHY BANKU - reklamowany"
"GP109_10","CECHY BANKU - reklamowany przez znane osoby"
"GP109_11","CECHY BANKU - duża liczba placówek"
"GP109_12","CECHY BANKU - szeroka oferta"
"GP109_13","CECHY BANKU - liczba klientów"
"GP109_14","CECHY BANKU - znaczący udział Skarby Państwa"
"GP110_1","błąd pilotów lub kontrolerów lotu"
"GP110_2","zamach, spisek przeciwko polskiemu Prezydentowi"
"GP110_3","naciski na pilotów, aby lądowali bez względu na trudne warunki"
"GP110_4","ogólny bałagan w instytucjach odpowiedzialnych za lot"
"GP110_5","inna przyczyna"
"GP110_6","trudno powiedzieć"
"GP111_01","brak napięć i stresów"
"GP111_02","duża samodzielność"
"GP111_03","możliwość rozwoju osobistego"
"GP111_04","praca zgodna z umiejętnościami"
"GP111_05","możliwość szybkiego awansowania"
"GP111_06","stabilność zatrudnienia"
"GP111_07","dogodne godziny pracy"
"GP111_08","możliwość wykonywania pracy w domu"
"GP111_09","długi urlop"
"GP111_10","zajęcie poważane przez ludzi"
"GP111_11","odpowiednia płaca"
"GP111_12","inne czynniki"
"GP112_01","praca w niepełnym wymiarze"
"GP112_02","dzielenie urlopu rodzicielskiego przez rodziców"
"GP112_03","elastyczny czas pracy"
"GP112_04","możliwość wykonywania części pracy w domu"
"GP112_05","więcej wolnych dni w tygodniu"
"GP112_06","dłuższy urlop macierzyński"
"GP112_07","dłuższy płatny urlop wychowawczy"
"GP112_08","wyższe zasiłki (np. wychowawczy, na dzieci itp.)"
"GP112_09","lepsze możliwości opieki poza domem nad dziećmi w wieku poniżej 7 lat"
"GP112_10","lepsze możliwości opieki poza domem nad dziećmi w wieku 7 -12 lat"
"GP113","Ile przecietnie godzin w tygodniu Pan pracuje"
"GP114","Czy pelni Pan obecnie funkcje kierownicza?"
"GP115","ilu pracownikow Panu podlega?"
"GP116_1","dobrowolna decyzja w celu podjęcia lepszej/lepiej płatnej pracy"
"GP116_2","skończyła się umowa o pracę na czas określony"
"GP116_3","z przyczyn niezależnych ode mnie"
"GP116_4","inne powody"
"GP117","Czy zmiana miejsca pracy wiazala sie takze ze zmiana zawodu"
"GP118_01","nauka, uzupełnianie kwalifikacji"
"GP118_02","zajmowanie się domem"
"GP118_03","ze względu na opiekę nad dziećmi"
"GP118_04","ze względu na opiekę nad niepełnosprawnymi i starszymi członkami gospodarstwa"
"GP118_05","ze względu na stan zdrowia, niepełnosprawność"
"GP118_06","ze względu na nieodpowiedni wiek"
"GP118_07","ze względu na brak kwalifikacji odpowiadających pracodawcom"
"GP118_08","emerytura"
"GP118_09","ze względu na trudności ze znalezieniem pracy"
"GP118_10","otrzymywanie świadczeń społecznych"
"GP118_11","nie chciałam pracować"
"GP119_1","gdyby była możliwość podjęcia pracy w niepełnym wymiarze"
"GP119_2","gdyby była możliwość wykonywania przynajmniej części pracy w domu"
"GP119_3","gdyby była możliwość elastycznego organizowania czasu pracy"
"GP119_4","gdyby była możliwość otrzymywanie większej pomocy ze strony innych członków rodziny w wykonywaniu obowiązków rodzinnych"
"GP119_5","gdyby była możliwość skorzystania z odpowiedniej opieki dla dzieci lub chorych"
"GP119_6","gdyby była możliwość zachowania prawa do otrzymywanych obecnie świadczeń społecznych"
"GP119_7","gdyby utworzono dogodne warunki pracy i dojazdu do pracy dla osób niepełnosprawnych"
"GP119_8","inne"
"GP119_9","nie chcę w ogóle pracować"
"GP120","Ilość kontaktów ze strony banku"
"GP121_1","TELEFON"
"GP121_2","E-MAIL"
"GP121_3","LIST"
"GP121_4","SMS"
"GP121_5","WIZYTA W ODDZIALE"
"GP122_1","TELEFON"
"GP122_2","E_MAIL"
"GP122_3","LIST"
"GP123","ZAKUP PRODUKTÓW BANKOWYCH"
"GP124_1","ILE RAZY ZMIANA BANKU - CAŁE ŻYCIE"
"GP124_2","ILE RAZY ZMIANA BANKU - 2 LATA"
"GP125","Ile godzin w ostatnim tygodniu spedzil Pan przy komputerze?"
"GP126_1","KOPIOWANIE "
"GP126_2","POWIELANIE"
"GP126_3","FUNKCJE W ARKUSZU KALKULACYJNYM"
"GP126_4","PREZENTACJA"
"GP126_5","INSTALOWANIE"
"GP126_6","PISANIE PROGRAMU"
"GP127","Ile godzin w ostatnim tygodniu korzysta? z internetu?"
"GP128_01","sprawdzanie i wysyłanie poczty elektronicznej (e-mail)"
"GP128_02","korzystanie z komunikatorów (np. gadu-gadu itp.)"
"GP128_03","uczestniczenie w czatach"
"GP128_04","uczestniczenie w grupach lub forach dyskusyjnych"
"GP128_05","telefonowanie przez internet (VoIP, Skype),"
"GP128_06","tworzenie lub modyfikowanie strony WWW"
"GP128_07","zbieranie materiałów potrzebnych do nauki lub pracy"
"GP128_08","uczestniczenie w kursach lub szkoleniach przez internet"
"GP128_09","szukanie pracy, wysyłanie ofert dotyczących zatrudnienia"
"GP128_10","kupowanie produktów i usług przez internet  w Polsce"
"GP128_11","kupowanie produktów i usług przez internet  z zagranicy"
"GP128_12","uczestniczenie w aukcjach internetowych"
"GP128_13","granie w gry sieciowe przez internet"
"GP128_14","ściąganie darmowego oprogramowania"
"GP128_15","korzystanie z Facebooka"
"GP128_16","korzystanie z innych portali społecznościowych"
"GP128_17","korzystanie z banku przez internet"
"GP128_18","ściąganie darmowej muzyki, filmów"
"GP128_19","tworzenie i publikowanie własnych tekstów (np. bloga), grafiki, muzyki lub innej twórczości w internecie"
"GP128_20","uzyskiwanie informacji ze stron internetowych instytucji publicznych"
"GP128_21","pobieranie lub wypełnianie formularzy urzędowych"
"GP128_22","słuchanie muzyki lub radia przez internet"
"GP128_23","oglądanie telewizji, plików wideo przez internet"
"GP128_24","rezerwacja biletów"
"GP128_25","czytanie gazet lub książek przez internet"
"GP128_26","w celach zawodowych"
"GP129","Czy korzysta z internetu za pośrednictwem telefonu komórkowego lub tabletu"
"GP130","jak często"
"GP131","Czy za pomocą internetu w telefonie komórkowym lub tablecie korzysta Pan z us?ug bankowych?"
"GP132","jak często"
"GP133_1","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP133_2","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP133_3","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP133_4","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP133_5","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP133_6","Rok urodzenia dziecka (dwie ostatnie cyfry)"
"GP134_1","Rok wspolnego zamieszkania"
"GP134_2","Rok wspolnego zamieszkania"
"GP134_3","Rok wspolnego zamieszkania"
"GP134_4","Rok wspolnego zamieszkania"
"GP134_5","Rok wspolnego zamieszkania"
"GP134_6","Rok wspolnego zamieszkania"
"GP135_1","Rok, w ktorym przestali Panstwo razem mieszkac"
"GP135_2","Rok, w ktorym przestali Panstwo razem mieszkac"
"GP135_3","Rok, w ktorym przestali Panstwo razem mieszkac"
"GP135_4","Rok, w ktorym przestali Panstwo razem mieszkac"
"GP135_5","Rok, w ktorym przestali Panstwo razem mieszkac"
"GP135_6","Rok, w ktorym przestali Panstwo razem mieszkac"
"GA6","Symbol zrodla utrzymania gospodarstwa 7 KATEGORII"
"ga6_bez7","Symbol zrodla utrzymania gospodarstwa 6 KATEGORII"
"gtypGD_8","typ gospodarstwa domowego 8 KATEGORII"
"gtypGD_10","typ gospodarstwa domowego 10 KATEGORII"
"gtypGD_11","typ gospodarstwa domowego 11 KATEGORII"
"HC4","STOPIEŃ POKREWIEŃSTWA Z GŁOWĄ GOSPODARSTWA"
"HC5","NUMER RODZINY"
"HC7","DATA URODZENIA DZIEŃ"
"HC8","DATA URODZENIA MIESIĄC"
"HC9","DATA URODZENIA ROK"
"HC10","PŁEĆ 1 - MĘŻCZYZNA, 2 - KOBIETA"
"HC11","STAN CYWILNY"
"HC12","DATA ZAWARCIA MAŁŻEŃSTWA MIESIĄC"
"HC13","DATA ZAWARCIA MAŁŻEŃSTWA ROK"
"HC14","DATA ROZPADU MAŁŻEŃSTWA MIESIĄC"
"HC15","DATA ROZPADU MAŁŻEŃSTWA ROK"
"HC16","WYKSZTAŁCENIE"
"HC17","LICZBA LAT NAUKI"
"HC18","KIERUNEK UKOŃCZONEGO WYKSZTAŁCENIA"
"HC19","STATUS EDUKACYJNY"
"HC20","RODZAJ USŁUGI EDUKACYJNEJ 1"
"HC21","RODZAJ USŁUGI EDUKACYJNEJ 2"
"HC22","PRAWO JAZDY"
"HC23","ANGIELSKI"
"HC24","NIEMIECKI"
"HC25","FRANCUSKI"
"HC26","ROSYJSKI"
"HC27","HISZPAŃSKI"
"HC28","INNY"
"HC29","CZY MA TELEFON KOMÓRKOWY, SMARTPHONE BĄDŹ PDA?"
"HC30","NIEPEŁNOSPRAWNOŚĆ"
"HC31","ORZECZENIE O STOPNIU NIEPEŁNOSPRAWNOŚCI?"
"HC32","ŹRÓDŁO UTRZYMANIA GŁÓWNE"
"HC33","ŹRÓDŁO UTRZYMANIA DODATKOWE"
"HC34","PRZYCZYNA CZASOWEJ NIEOBECNOŚCI"
"HC35","STATUS CZŁONKOSTWA OSOBY W GOSP."
"HC36","DATA PRZYBYCIA MIESIĄC"
"HC37","DATA PRZYBYCIA ROK"
"HC38","DATA OPUSZCZENIA MIESIĄC"
"HC39","DATA OPUSZCZENIA ROK"
"HC40","PRZYCZYNA PRZYBYCIA"
"HC41","PRZYCZYNA OPUSZCZENIA"
"HC42","REZULTAT WYWIADU INDYWIDUALNEGO"
"HD2","CZY W CIĄGU OSTATNICH 7 DNI OSOBA WYKONYWAŁA PRACE PRZYNOSZĄCĄ ZAROBEK"
"HD3","CZY W CIĄGU OSTATNICH 7 DNI OSOBA MIALA PRACE JAKO PRACOWNIK NAJEMNY,"
"HD4","ILE GODZIN PRACOWAŁA OSOBA W CIĄGU OSTATNICH 7 DNI?"
"HD5","rodzaj pracy"
"hd5_b","rodzaj pracy 12 kategorii"
"HD6","CZY JEST TO PRACA W PEŁNYM WYMIARZE?"
"HD7","DLACZEGO OSOBA PRACUJE W NIEPEŁNYM WYMIARZE CZASU PRACY?"
"HD8","CZY OSOBA JEST ZAREJESTROWANA JAKO BEZROBOTNA W URZĘDZIE PRACY?"
"HD9","CZY OTRZYMUJE ZASIŁEK DLA BEZROBOTNYCH?"
"HD10","CZY OSOBA POSZUKIWAŁA PRACY LUB INNEJ PRACY W CIĄGU OSTATNICH 4 TYG."
"HD11","DLACZEGO NIE POSZUKUJE PRACY?"
"HD12","CZY JEST GOTOWA DO PODJĘCIA PRACY W TYM LUB NASTĘPNYM TYGODNIU?"
"HD13","JAK DŁUGO OSOBA POZOSTAJE OBECNIE BEZ PRACY? LATA"
"HD14","JAK DŁUGO OSOBA POZOSTAJE OBECNIE BEZ PRACY? MIESIĄCE"
"HD15","WLASNOSC INSTYTUCJI, W KTOREJ OSOBA PRACUJE JAKO W GLOWNYM MIEJSCU PRA"
"HD16","WLASNOSC INSTYTUCJI, W KTOREJ OSOBA PRACUJE JAKO W DODATKOWYM MIEJSCU"
"HD17","CZY GLOWNE MIEJSCE PRACY ZNAJDUJE SIE W MIEJSCOWOSCI ZAMIESZKANIA? (DL"
"H_ZAWOD_AKTYWNI","ZAWOD OBECNIE WYKONYWANY"
"H_ZAWOD_BIERNI","ZAWOD WYKONYWANY W OSTATNIM MIEJSCU PRACY (DLA OSOB OBECNIE NIEPRACUJA"
"H_ZAWOD_OGOLEM","ZAWOD OBECNIE LUB W PRZESZŁOŚCI WYKONYWANY"
"HD20","ILE RAZY OSOBA BYLA ZAREJESTROWANA W URZEDZIE PRACY JAKO BEZROBOTNA"
"HD21","JAK DLUGO LACZNIE W OSTATNICH 2 LATACH OSOBA POZOSTAWALA BEZ PRACY?"
"HD22","CZY OSOBA PODNOSIŁA KWALIFIKACJE"
"HD23","RODZAJ AKTYWNOSCI EDUKACYJNEJ 1"
"HD24","RODZAJ AKTYWNOSCI EDUKACYJNEJ 2"
"HD25","RODZAJ AKTYWNOSCI EDUKACYJNEJ 3"
"HD26","CZY OSOBA PRACOWALA ZA GRANICA W OKRESIE 2013-2015?"
"HD27","CZY OSOBA UCZYLA SIE ZA GRANICA W OKRESIE 2013-2015?"
"HD28","ILE RAZY WYJEZDZALA ZA GRANICE I TAM PRACOWALA LUB UCZYLA SIE W OKRESIE 2013-2015"
"HD29","W JAKICH KRAJACH PRACOWALA LUB UCZYLA SIE? 1"
"HD30","W JAKICH KRAJACH PRACOWALA LUB UCZYLA SIE? 2"
"HD31","PODAC LACZNY CZAS PRACY"
"HD32","PODAC LACZNY CZAS NAUKI"
"HD33","JESLI OSOBA WROCILA W OSTATNIM ROKU PO POBYCIE DLUZSZYM NIZ 6 MIESIECY"
"HH2","POZIOM WYKSZTALCENIA"
"HH3","KORZYSTA INTERNETU?"
"HK2","OSOBA PRZEBYWA?A W SZPITALU W OST. ROKU"
"HPPLEC","PPLEC"
"HIMIE","IMIE IMIE"
"HISSP","CZY OSOBA BRAŁA UDZIAŁ W BADANIU ISSP? 1=TAK; 2=NIE."
"HP2_01","PIENIĄDZE"
"HP2_02","DZIECI"
"HP2_03","UDANE MAŁŻEŃSTWO"
"HP2_04","PRACA"
"HP2_05","PRZYJACIELE"
"HP2_06","OPATRZNOŚĆ, BÓG"
"HP2_07","POGODA DUCHA, OPTYMIZM"
"HP2_08","UCZCIWOŚĆ"
"HP2_09","ŻYCZLIWOŚĆ I SZACUNEK OTOCZENIA"
"HP2_10","WOLNOŚĆ, SWOBODA"
"HP2_11","ZDROWIE"
"HP2_12","WYKSZTAŁCENIE"
"HP2_13","SILNY CHARAKTER"
"HP2_14","INNE"
"HP3","JAK OCENIA PAN SWOJE CALE DOTYCHCZASOWE ZYCIE"
"HP4","OCZEKIWANIA ZONY WOBEC PANA BYLY TAK DUZE, ZE NIE MOGL IM PAN SPROSTAC"
"HP5","ZONA WYDAWALA WSPOLNE PIENIADZE W SPOSOB ZBYT ROZRZUTNY"
"HP6","PROBLEMY I KLOPOTY ZONY PRZYSPARZALY ZMARTWIEN I UTRUDNIALY PANU ZYCIE"
"HP7","MUSIAL PAN WYSLUCHIWAC SKARG NA SWOJE DZIECKO/DZIECI"
"HP8","PONIOSL PAN JAKIES KOSZTY W ZWIAZKU Z TYM, CO ZROBILO PANA DZIECKO"
"HP9","DZIECKO LEKCEWAZYLO SOBIE I ODRZUCALO PANA POMOC, RADY I WSKAZOWKI"
"HP10","CZUL PAN, ZE TRACI WPLYW NA SWOJE DZIECKO/DZIECI"
"HP11","CZU? SI? PAN ODPOWIEDZIALNY ZA ZAPEWNIENIE OPIEKI STARSZYM"
"HP12","NIEPOKOI? PANA STAN STARSZEGO"
"HP13","CZUL PAN, ZE PANA ZRODLO DOCHODOW JEST NIESTALE I NIEPEWNE"
"HP14","PROBLEMY I KLOPOTY FINANSOWE PRZYSPARZALY ZMARTWIEN I UTRUDNIALY PANU"
"HP15","CZUL PAN, ZE PANA PRACA JEST ZBYT UCIAZLIWA, BRUDNA LUB NIEBEZPIECZNA"
"HP16","ODCZUWAL PAN NADMIAR OBOWIAZKOW W PRACY, KTORYM NIE MOGL PODOLAC"
"HP17","BYL PAN TRAKTOWANY NIESPRAWIEDLIWIE PRZEZ INNYCH W PRACY"
"HP18","ODCZUWAL PAN NADMIERNE ZATLOCZENIE W MIEJSCU ZAMIESZKANIA"
"HP19","OBAWIAL SIE PAN PRZESTEPCZOSCI, NARKOMANII, CHULIGANSTWA"
"HP20","PROBLEMY ZWIAZANE Z SASIADAMI LUB INNYMI LUDZMI Z OKOLICY ZATRUWALY"
"HP21","DENERWOWALY PANA DECYZJE I DZIALANIA MIEJSCOWYCH WLADZ"
"HP22","ODCZUWAL PAN DOLEGLIWOSCI FIZYCZNE"
"HP23","PROBLEMY ZE ZDROWIEM UTRUDNIALY PANU WYKONYWANIE CODZIENNYCH ZAJEC"
"HP24","ZALATWIAL PAN JAKAS SPRAWE URZEDOWA"
"HP25","NIE MOGL PAN SPRAWNIE, SZYBKO I BEZ TRUDNOSCI ZALATWIC JAKIEJS SPRAWY"
"HP26","MUSIAL PAN SZUKAC ZNAJOMOSCI LUB INNYCH SPOSOBOW, ABY ZALATWIC"
"HP27","CZUL SIE PAN CALKOWICIE BEZSILNY I UPOKORZONA PRZY ZALATWIANIU"
"HP28","CZY GŁOSOWAŁ PAN W OSTATNICH WYBORACH SAMORZĄDOWYCH W 2014 ROKU?"
"HP29","CO JEST WEDLUG PANA WAZNIEJSZE W ZYCIU?"
"HP30","PODJAL PAN LEPIEJ PLATNA LUB DODATKOWA PRACE"
"HP31","ZAINWESTOWAL PAN JAKIES PIENIADZE W PRODUKCJE, HANDEL LUB USLUGI"
"HP32","ZAROBIL PAN PIENIADZE NA AKCJACH, OBLIGACJACH LUB JEDNOSTKACH"
"HP33","ZDOBYL PAN NOWE KWALIFIKACJE LUB UMIEJETNOSCI"
"HP34","BIORAC WSZYSTKO RAZEM POD UWAGE, JAK OCENILBY PAN SWOJE ZYCIE"
"HP35_1","KORZYSTAL Z PLACOWEK ZDROWIA"
"HP35_2","KORZYSTAL Z PLACOWEK ZDROWIA"
"HP35_3","KORZYSTAL Z PLACOWEK ZDROWIA"
"HP36","JAK CZESTO W MINIONYCH MIESIĄCACH ZDARZALO SIE PANU BYC TAK ZALAMANYM"
"HP37","CZY CZUJE SIE PAN KOCHANY I DARZONY ZAUFANIEM?"
"HP38","JAK CZESTO BIERZE UDZIAL W NABOZENSTWACH"
"HP39","ILE OSOB ZALICZA PAN DO GRONA SWOICH PRZYJACIOL?"
"HP40","JAK SILNE W TYCH DNIACH JEST PANA PRAGNIENIE ZYCIA?"
"HP41","CZY CZUJE SIE PAN OSAMOTNIONY, MIMO ZE TEGO NIE CHCE?"
"HP42","CZY PANA ZDANIEM REFORMY W POLSCE PO 1989 ROKU UDALY SIE"
"HP43","CZY PALI PAN PAPIEROSY?"
"HP44","ILE PRZECIETNE SZTUK PAPIEROSOW DZIENNIE PAN WYPALA?"
"HP45","CZY KIEDYKOLWIEK W ZYCIU PALIL PAN PAPIEROSY?"
"HP46","CZY W CIĄGU OSTATNICH DWOCH LAT ZDARZYLO SIE, ZE ANGAZOWAL SIE"
"HP47_1","ZWRACAM SIĘ O RADĘ I POMOC DO INNYCH LUDZI"
"HP47_2","MOBILIZUJĘ SIĘ I PRZYSTĘPUJĘ DO DZIAŁANIA"
"HP47_3","SIĘGAM PO ALKOHOL"
"HP47_4","POCIESZAM SIĘ MYŚLĄ, ŻE MOGŁO BYĆ JESZCZE GORZEJ, LUB ŻE INNYM JEST JESZCZE GORZEJ"
"HP47_5","PODDAJĘ SIĘ, NIE WIEM, CO ROBIĆ"
"HP47_6","ZAŻYWAM ŚRODKI USPOKAJAJĄCE"
"HP47_7","MODLĘ SIĘ O POMOC DO BOGA"
"HP47_8","ZAJMUJĘ SIĘ INNYMI RZECZAMI, KTÓRE ODWRACAJĄ MOJĄ UWAGĘ I POPRAWIAJĄ NASTRÓJ"
"HP48","CZY JEST PAN CZLONKIEM JAKICHS ORGANIZACJI, STOWARZYSZEN, PARTII"
"HP49","CZY PELNI PAN JAKIES FUNKCJE W TAKICH ORGANIZACJACH?"
"HP50","CZY OBECNIE UCZESTNICZY PAN AKTYWNIE W DZIA?ANIACH TAKICH ORGANIZACJI?"
"HP51_01","KLUB SPORTOWY"
"HP51_02","ORGANIZACJA BIZNESOWA, ZAWODOWA"
"HP51_03","PARTIA POLITYCZNA"
"HP51_04","ORGANIZACJA POMAGAJACA"
"HP51_05","ZWIAZEK ZAWODOWY"
"HP51_06","KOLO ZAINTERESOWAN"
"HP51_07","KOMITET MIESZKANCOW"
"HP51_08","KOMITET RODZICIELSKI"
"HP51_09","EKOLOGOWIE"
"HP51_10","ORGANIZACJA TOWARZYSKA"
"HP51_11","ORGANIZACJA RELIGIJNA"
"HP51_12","ORGANIZACJA UPOWSZECHNIAJACA WIEDZE"
"HP51_13","WLADZE SAMORZADOWE"
"HP51_14","INNA"
"HP52","JAKI JEST PANA WZROST? CENTYMETROW"
"HP53","JAKA JEST PANA WAGA? KILOGRAMOW"
"HP54N","N.kategorie odczuć i zachowań: WYGLĄD"
"HP54O","O.kategorie odczuć i zachowań: ZAPAŁ DO PRACY"
"HP54P","P.kategorie odczuć i zachowań: SEN"
"HP54Q","Q.kategorie odczuć i zachowań: MĘCZLIWOŚĆ"
"HP54R","R.kategorie odczuć i zachowań: APETYT"
"HP54T","T.kategorie odczuć i zachowań: ZDROWIE"
"HP54U","U.kategorie odczuć i zachowań: SEKS"
"HP55","CZY W OSTATNIM ROKU BYL PAN NA JAKIMS ZEBRANIU PUBLICZNYM"
"HP56","CZY Z PANA DIETY WYKLUCZONE JEST MIĘSO I PRZETWORY MIĘSNE?"
"HP57_01","PODZIWIAM LUDZI, KTÓRZY MAJĄ DROGIE DOMY, SAMOCHODY I UBRANIA"
"HP57_02","MOJE ŻYCIE MIMO BOLESNYCH DOŚWIADCZEŃ MA SENS I DUŻĄ WARTOŚĆ"
"HP57_03","W ŻYCIU NAJWAŻNIEJSZE JEST TO, ABY BYŁO DUŻO PRZYJEMNOŚCI I MAŁO PRZYKROŚCI"
"HP57_04","MIARĄ ŻYCIOWEGO SUKCESU JEST STAN POSIADANIA RÓŻNYCH DÓBR MATERIALNYCH"
"HP57_05","LUBIĘ KUPOWAĆ RZECZY, KTÓRE NIE MAJĄ PRAKTYCZNEGO ZNACZENIA"
"HP57_06","SAMO ROBIENIE ZAKUPÓW SPRAWIA MI PRAWDZIWĄ RADOŚĆ"
"HP57_07","LUDZIE PRZEDE WSZYSTKIM STARAJĄ SIĘ SŁUŻYĆ POMOCĄ INNYM"
"HP57_08","HOMOSEKSUALIŚCI POWINNI MÓC UKŁADAĆ SOBIE ŻYCIE WEDŁUG WŁASNYCH PRZEKONAŃ"
"HP57_09","PRAWDZIWY PATRIOTA NIE POWINIEN ŹLE MÓWIĆ O POLSCE I POLAKACH "
"HP57_10","ZBYT WIELE MAJĄ DO POWIEDZENIA W NASZYM KRAJU OSOBY OBCEGO POCHODZENIA"
"HP57_11","NIEKTÓRZY LUDZIE SĄ WIĘCEJ WARCI OD INNYCH"
"HP57_12","CHCIAŁBYM DOBRZE, ATRAKCYJNIE WYGLĄDAĆ"
"HP57_13","NIEKTÓRE GRUPY LUDZI NIE ZASŁUGUJĄ NA SZACUNEK"
"HP57_14","POWINNIŚMY DĄŻYĆ DO TEGO, ABY DOCHODY WSZYSTKICH LUDZI BYŁY W MIARĘ WYRÓWNANE"
"HP57_15","BEZ KAR FIZYCZNYCH NIE DA SIĘ DOBRZE WYCHOWAĆ DZIECI."
"HP57_16","KAŻDY Z NAS JEST KOWALEM SWOJEGO LOSU"
"HP57_17","OJCOWIE POWINNI CZĘŚCIEJ KORZYSTAĆ Z URLOPU RODZICIELSKIEGO I OPIEKOWAĆ SIĘ DZIEĆMI"
"HP57_18","POWINNO SIĘ W POLSCE PRZYWRÓCIĆ KARĘ ŚMIERCI"
